Station ID,Time,Temperature,Relative Humidity,Wind Direction,Wind Speed,Rain Fall,Visibility
58015,20220320235645,10.5,1018.6,59,245,3.2,0.6,10242.2
58102,20220320235645,14.7,1024.8,16,236,8.1,1.3,10369.3
58118,20220320235645,34.5,1010.7,48,198,0.4,0.3,10045.0
58122,20220320235645,6.8,1023.3,69,11,14.9,0.2,10187.7
58203,20220320235645,21.4,1014.2,38,335,8.8,0.7,10339.4
58215,20220320235645,18.1,1020.0,86,344,8.1,1.3,10022.7
58221,20220320235645,8.4,1001.6,66,186,6.5,0.8,10318.8
58225,20220320235645,32.5,1019.3,20,142,0.8,0.8,10378.1
58236,20220320235645,18.1,1013.6,5,314,0.3,0.1,10359.5
58311,20220320235645,19.1,1024.0,30,37,4.6,0.3,10231.0
58314,20220320235645,8.5,1013.0,35,221,10.8,0.7,10120.3
58319,20220320235645,32.1,1002.5,57,107,7.0,0.0,10482.5
58321,20220320235645,24.3,1012.1,7,145,2.2,0.6,10396.7
58326,20220320235645,25.1,1008.0,1,280,4.7,1.0,10204.0
58336,20220320235645,16.0,1025.4,11,54,7.1,1.3,10294.5
58338,20220320235645,18.9,1011.3,28,276,6.4,1.1,10277.5
58414,20220320235645,16.5,1001.3,97,175,12.9,0.2,10168.6
58419,20220320235645,22.6,1021.8,45,18,2.5,0.8,10382.1
58424,20220320235645,33.4,1025.3,40,188,7.7,0.2,10489.4
58429,20220320235645,20.0,1008.4,11,243,4.7,0.1,10255.1
58436,20220320235645,24.7,1003.0,48,350,9.0,0.8,10068.4
58437,20220320235645,30.7,1018.0,18,153,6.9,0.1,10239.2
58520,20220320235645,25.7,1015.8,55,249,13.6,1.4,10304.6
58531,20220320235645,5.3,1000.8,86,8,14.7,0.7,10488.4
54406,20220320235645,10.2,1016.4,45,170,1.4,0.3,10150.8
54416,20220320235645,26.0,1010.7,78,106,14.0,0.2,10180.2
54511,20220320235645,33.3,1011.5,5,347,7.0,0.6,10406.9
58725,20220320235645,5.1,1023.9,20,246,10.4,0.4,10020.7
58730,20220320235645,15.3,1021.3,100,310,4.2,0.7,10052.3
58731,20220320235645,31.2,1018.6,25,265,7.6,0.5,10111.0
58734,20220320235645,1.8,1020.1,44,349,1.1,1.5,10102.0
58737,20220320235645,16.3,1009.0,18,332,1.6,0.0,10164.6
58744,20220320235645,19.3,1016.4,66,274,5.0,0.4,10090.6
58754,20220320235645,8.4,1003.6,41,215,4.8,0.8,10310.6
58818,20220320235645,9.2,1023.9,16,144,7.1,1.1,10388.6
58820,20220320235645,22.7,1020.0,62,58,2.0,1.1,10154.8
