Station ID,Time,Temperature,Relative Humidity,Wind Direction,Wind Speed,Rain Fall,Visibility
58015,20220321054431,19.4,1021.6,60,310,5.8,0.6,10330.9
58102,20220321054431,30.2,1015.9,4,267,12.2,1.3,10310.2
58118,20220321054431,17.2,1006.6,14,60,8.2,0.9,10170.2
58122,20220321054431,4.9,1002.1,27,253,6.8,0.0,10004.9
58203,20220321054431,1.1,1022.4,83,312,9.5,0.6,10256.9
58215,20220321054431,14.9,1009.1,2,91,5.5,0.1,10315.8
58221,20220321054431,25.9,1018.1,4,6,7.7,0.8,10029.9
58225,20220321054431,24.6,1014.4,34,232,4.5,1.2,10346.3
58236,20220321054431,7.5,1008.8,24,4,12.7,0.9,10338.5
58311,20220321054431,2.1,1010.1,19,240,13.7,0.0,10268.1
58314,20220321054431,3.5,1013.7,83,294,8.5,0.5,10338.2
58319,20220321054431,19.2,1024.8,61,13,3.3,0.1,10486.7
58321,20220321054431,3.4,1012.9,97,326,2.7,0.7,10278.4
58326,20220321054431,21.8,1008.8,67,211,8.0,0.0,10076.3
58336,20220321054431,16.4,1017.3,4,334,3.7,0.2,10404.6
58338,20220321054431,29.9,1019.8,83,156,12.7,1.0,10094.4
58414,20220321054431,25.7,1008.6,29,102,5.1,0.4,10034.2
58419,20220321054431,34.9,1025.0,11,217,12.3,1.2,10001.4
58424,20220321054431,20.4,1006.7,80,135,12.7,0.7,10255.1
58429,20220321054431,27.4,1015.8,31,31,14.8,0.4,10269.9
58436,20220321054431,10.8,1021.8,39,329,10.0,0.6,10481.0
58437,20220321054431,10.3,1019.2,25,101,3.9,0.3,10257.2
58520,20220321054431,9.3,1007.0,39,28,8.2,1.0,10010.1
58531,20220321054431,12.7,1009.0,37,329,7.8,0.3,10284.1
54406,20220321054431,4.3,1000.6,49,96,9.0,1.0,10438.2
54416,20220321054431,9.8,1002.1,30,3,5.0,1.4,10374.1
54511,20220321054431,27.5,1013.6,48,304,10.6,0.1,10123.3
58725,20220321054431,21.1,1009.7,20,255,1.2,1.5,10093.8
58730,20220321054431,22.0,1026.4,5,1,5.6,0.5,10395.2
58731,20220321054431,15.0,1018.8,23,320,10.2,0.4,10309.0
58734,20220321054431,17.3,1023.8,12,114,0.1,1.0,10454.6
58737,20220321054431,2.4,1012.3,23,280,10.5,0.5,10213.1
58744,20220321054431,30.2,1014.0,92,162,2.5,0.0,10021.5
58754,20220321054431,32.1,1010.3,13,129,9.6,0.7,10470.4
58818,20220321054431,27.6,1016.1,57,223,5.1,1.5,10053.2
58820,20220321054431,17.5,1013.0,48,91,7.8,0.9,10355.0
58834,20220321054431,17.5,1012.1,72,225,6.6,0.3,10080.8
58837,20220321054431,34.0,1012.1,4,202,11.4,0.4,10108.2
58843,20220321054431,15.7,1009.0,25,281,4.8,0.0,10295.0
58846,20220321054431,15.0,1005.2,66,323,8.2,1.2,10143.5
58847,20220321054431,15.2,1017.5,31,237,0.1,0.6,10137.0
58911,20220321054431,16.3,1009.2,24,279,8.0,0.2,10060.2
58918,20220321054431,15.2,1007.3,38,208,10.5,0.1,10262.3
58921,20220321054431,7.8,1023.6,38,154,0.0,1.0,10412.0
58926,20220321054431,23.2,1018.1,77,76,10.3,1.4,10485.9
58927,20220321054431,16.1,1020.0,1,44,7.9,0.3,10179.7
58931,20220321054431,11.5,1021.6,69,157,5.4,0.1,10442.8
58933,20220321054431,7.9,1004.6,88,245,6.9,0.1,10335.6
58936,20220321054431,21.9,1026.4,82,323,4.8,0.1,10280.2
58944,20220321054431,1.6,1010.1,45,68,12.8,0.1,10301.7
59113,20220321054431,18.5,1005.2,20,291,7.8,1.5,10148.4
59126,20220321054431,32.2,1021.5,96,165,11.8,0.6,10222.6
59133,20220321054431,25.6,1003.9,87,248,4.1,0.8,10487.9
59134,20220321054431,34.8,1016.4,63,74,14.5,1.0,10045.2
59321,20220321054431,1.1,1005.0,39,16,7.8,0.1,10474.8
52323,20220321054431,18.6,1025.2,89,281,4.4,1.1,10015.0
52418,20220321054431,28.2,1022.0,2,311,8.1,1.1,10061.6
52424,20220321054431,7.4,1007.9,71,105,8.9,0.4,10126.0
52436,20220321054431,30.1,1011.7,15,4,4.8,0.1,10457.2
52446,20220321054431,10.2,1017.7,13,252,5.9,0.4,10333.4
52447,20220321054431,10.6,1001.3,65,107,5.8,1.3,10336.1
52533,20220321054431,15.2,1006.7,30,344,6.8,1.1,10491.0
52546,20220321054431,2.3,1024.5,42,136,2.8,0.0,10378.0
52652,20220321054431,7.9,1003.1,66,82,7.3,0.9,10098.6
52661,20220321054431,7.7,1012.4,65,100,11.9,0.9,10068.5
52674,20220321054431,2.2,1021.3,79,211,5.5,1.2,10108.1
